,r,p-val
LH_Vis_59,0.29888451538759153,0.2438787459128932
LH_Vis_60,0.02467270577515298,0.9251146349351752
LH_Vis_61,0.45622715658676694,0.0656645293086157
LH_Vis_62,0.3614452108176805,0.15401449535289224
LH_Vis_63,0.24050324011149551,0.3524545762763118
LH_Vis_64,0.17746542975311327,0.4956090709699804
LH_Vis_65,0.569120811505335,0.017108661136281695
LH_Vis_66,-0.001896465203804883,0.9942363940964338
LH_Vis_67,0.2504693446751321,0.3322332117077318
LH_Vis_68,0.20166368604649865,0.4376469281691855
LH_Vis_69,0.2708613433282743,0.29300870512986593
LH_Vis_70,-0.007583195368693924,0.9769563686155585
LH_Vis_71,0.07333443029133921,0.7796994019217296
LH_Vis_72,0.17704428920188173,0.49664914111769
LH_Vis_73,0.46935581345442967,0.05733365318618135
LH_Vis_74,0.5687090000169471,0.017207177202824168
LH_Vis_75,0.24865151014386694,0.33587053033256153
LH_Vis_76,0.146656866073309,0.5743374822886529
LH_Vis_77,0.2504546847192341,0.3322624533949027
LH_Vis_78,-0.09202454133713145,0.7253837767915647
LH_Vis_79,0.3151490700940123,0.21790526785448727
LH_Vis_80,0.24874879894209484,0.33567528523249013
LH_Vis_81,0.12370870420098375,0.6361869747977774
LH_SomMot_1,0.5476346470529492,0.022872923392903616
LH_SomMot_2,0.4945162959439839,0.04359936063669365
LH_SomMot_3,0.24603937254762082,0.3411371773583708
LH_SomMot_4,0.36288988283519585,0.15225408530672524
LH_SomMot_5,0.33486671077587843,0.18889846579400568
LH_SomMot_6,0.5529002366666059,0.02133801897278332
LH_SomMot_7,0.5250249968895246,0.03046106962125919
LH_SomMot_8,0.3914154915648118,0.12026252346250063
LH_SomMot_9,0.607848416816207,0.009639547147682557
LH_SomMot_10,0.285040186127488,0.2674572526217719
LH_SomMot_11,0.5562800228625648,0.020395913732751268
LH_SomMot_12,0.3480806619323977,0.17095873649814158
LH_SomMot_13,0.47116831709264134,0.05624848601681136
LH_SomMot_14,0.3958041492711575,0.1157967492042274
LH_SomMot_15,0.5628343558719209,0.018661587730116464
LH_SomMot_16,0.6377507286769049,0.0058816509908123865
LH_SomMot_17,0.34661866451245843,0.17288513188848784
LH_SomMot_18,0.25550837133401244,0.32227042726466515
LH_SomMot_19,0.4820553334312802,0.050049383371780415
LH_SomMot_20,0.4420536446806066,0.07562591144972734
LH_SomMot_21,0.3546789748094453,0.1624437616575999
