,r,p-val
LH_SalVentAttn_ParOper_5,0.03437080575925162,0.8422584936130779
LH_SalVentAttn_ParOper_6,0.10794288388779229,0.5308981820454862
LH_SalVentAttn_ParOper_7,-0.12276127982739092,0.47567388754366313
LH_SalVentAttn_ParOper_8,-0.10163893276806236,0.5552963474765816
LH_SalVentAttn_ParOper_9,-0.05961383766932829,0.7298183616149052
LH_SalVentAttn_TempOcc_1,-0.08853355154951506,0.6076264555989985
LH_SalVentAttn_TempOcc_2,0.02127014040296407,0.9020036377457206
LH_SalVentAttn_FrOperIns_1,0.06727800362599491,0.6966370277055314
LH_SalVentAttn_FrOperIns_2,-0.07093083934920905,0.6810110347334273
LH_SalVentAttn_FrOperIns_3,0.23410243185492882,0.16937120073500178
LH_SalVentAttn_FrOperIns_4,-0.17796987929681596,0.2990591244928565
LH_SalVentAttn_FrOperIns_5,-0.039534052083434,0.8189292942810429
LH_SalVentAttn_FrOperIns_6,-0.01873879011212697,0.9136195663960502
LH_SalVentAttn_FrOperIns_7,-0.2520530501200231,0.1380719279228774
LH_SalVentAttn_FrOperIns_8,0.10304532746372737,0.5498081586323251
LH_SalVentAttn_FrOperIns_9,0.06451201694312576,0.708552048202002
LH_SalVentAttn_FrOperIns_10,-0.09675543495224195,0.5745491219548954
LH_SalVentAttn_FrOperIns_11,-0.13995015286981138,0.41559665619835606
LH_SalVentAttn_FrOperIns_12,-0.01659449644068377,0.9234732624214683
LH_SalVentAttn_FrOperIns_13,-0.21908588072190713,0.19921650967534113
LH_SalVentAttn_FrOperIns_14,0.1074340156564554,0.5328481979227786
LH_SalVentAttn_FrOperIns_15,0.020622999531043223,0.9049714454031855
LH_SalVentAttn_FrOperIns_16,0.014313709699321877,0.9339664774425785
LH_SalVentAttn_FrOperIns_17,-0.03283592606165473,0.8492200899523852
LH_SalVentAttn_FrOperIns_18,0.007438338439420408,0.9656573004100055
LH_SalVentAttn_FrOperIns_19,-0.32165899910997336,0.05574410595220305
LH_SalVentAttn_FrOperIns_20,-0.20090712149770323,0.24002379679353575
LH_SalVentAttn_FrOperIns_21,-0.24866617123252574,0.1436245748728353
LH_SalVentAttn_FrOperIns_22,0.19305547777159673,0.2592752470561535
LH_SalVentAttn_FrOperIns_23,0.08921922012630787,0.6048371584012003
LH_SalVentAttn_PFCl_1,-0.1810456892322674,0.29064806796951864
LH_SalVentAttn_PFCl_2,-0.2807758545062515,0.09716448102777689
LH_SalVentAttn_Med_1,-0.2390709931484827,0.16024105465078423
LH_SalVentAttn_Med_2,-0.14453548362089808,0.40032741821822737
LH_SalVentAttn_Med_3,-0.1294482835325207,0.4517784330327663
LH_SalVentAttn_Med_4,-0.10756952996250996,0.5323285604618888
LH_SalVentAttn_Med_5,0.1822404039974635,0.287422425871406
LH_SalVentAttn_Med_6,-0.1705584123744206,0.3199568932335471
LH_SalVentAttn_Med_7,0.3304745472861703,0.049002218667467824
LH_SalVentAttn_Med_8,0.22410275735898566,0.18886374132097555
LH_SalVentAttn_Med_9,0.11569433778552231,0.5016285212959612
LH_SalVentAttn_Med_10,0.05640402606288769,0.7438639101549019
LH_SalVentAttn_Med_11,0.31769349282111564,0.05900801706251153
LH_SalVentAttn_Med_12,-0.31781192324879665,0.058908393569863375
LH_SalVentAttn_Med_13,-0.10267588859390514,0.5512473481569466
LH_SalVentAttn_Med_14,0.1254573293831694,0.46596101862437156
LH_SalVentAttn_Med_15,-0.03457065154480567,0.8413529277867992
LH_SalVentAttn_Med_16,-0.22895057478299488,0.17922546726168526
